accuracy,GFAR,SDR,F1,precision,recall,score,elapsed,RTF,aggressiveness,frame_ms
72.2567575703358,65.41186752817055,79.59223369821241,82.76617307465403,86.2037637470251,79.59223369821241,21.590593207659225,3.401322603225708,0.00028886466133199823,2,10
73.58957421604383,70.6677695581151,82.20811784192851,83.89878349121273,85.66044866320492,82.20811784192851,21.057762881911064,3.375117778778076,0.000286639160071944,1,10
73.6971797843988,71.03089136519233,82.40739146071515,83.98644745394164,85.62720007410776,82.40739146071515,21.03207833035215,3.42636775970459,0.000290991675287516,0,10
73.42973458141094,71.0360936833453,82.08887785753,83.79740826787472,85.57857026680496,82.08887785753,20.838889241179874,2.3070015907287598,0.00019592708805869834,2,20
74.75475003540215,74.43060627815755,84.33296018073419,84.83033942305978,85.33362036268208,84.33296018073419,20.827533597177492,2.304456949234009,0.0001957109788890196,1,20
70.40948624912767,63.76273267367939,77.06408262712937,81.342259344429,86.12335749399381,77.06408262712937,20.733356506805862,2.017967939376831,0.00017138028155109304,3,30
74.92332361293539,75.33372870951295,84.71023265473592,84.97343824232554,85.23828455508323,84.71023265473592,20.692648109036366,2.3175764083862305,0.0001968251772662248,0,20
73.64638724267726,73.35372642049298,82.79904972722714,84.02423377595376,85.2862206889499,82.79904972722714,20.337939268139092,1.9825949668884277,0.00016837615553597226,2,30
75.35340670410673,77.89899179074196,85.72362055952628,85.3423796097709,84.96451465201466,85.72362055952628,20.27457561941898,1.994379997253418,0.00016937702466903883,0,30
75.21061097746389,77.60037872876153,85.4948661969334,85.23637267145989,84.97943754329998,85.4948661969334,20.256768226655428,1.987187385559082,0.00016876617660093542,1,30
68.48038721045495,63.434986630042346,74.69549228283279,79.86745590845402,85.80892039979331,74.69549228283279,19.44330071768273,2.3229949474334717,0.00019728535838674281,3,20
57.719830374957496,57.85862180187492,60.75353186402387,70.63512115199667,84.35559694249311,60.75353186402387,13.308670397664354,3.3123562335968018,0.00028130900042279216,3,10
