accuracy,GFAR,SDR,F1,precision,recall,score,elapsed,RTF,speech_threshold,min_speech_frame,min_silence_frame
85.42678030402601,14.516028342229298,85.41564302972895,90.75067016914473,96.79654385392892,85.41564302972895,45.44297448094565,48.023066997528076,0.0040784625872326485,0.5,50,40
83.97363875564209,11.113712270187595,83.01696409123835,89.66024325235134,97.4592387587698,83.01696409123835,45.36469354666797,47.83636283874512,0.004062606333684406,0.35,40,25
84.38404927639706,12.27486968193027,83.73341708160899,89.97605051164817,97.2244931568082,83.73341708160899,45.33010237619329,47.99979615211487,0.004076486260472929,0.4,50,30
83.63827230738052,10.751630926740956,82.54577873232802,89.4129046736192,97.52628479503606,82.54577873232802,45.22681486870042,47.854347467422485,0.004064133717081424,0.4,40,25
83.28289410645404,9.871398695258607,81.94978142713141,89.13780583082733,97.70802607595945,81.94978142713141,45.221309378175405,47.53900361061096,0.004037352459603937,0.3,40,20
85.01111245841838,14.27255985267035,84.87161693268564,90.45687060506675,96.82902021521285,84.87161693268564,45.21394621854324,47.850813150405884,0.004063833557582565,0.55,50,40
83.59443300175442,10.993018489038715,82.54040938723615,89.38693114495108,97.47199042919097,82.54040938723615,45.1270382367262,47.37716031074524,0.004023607568143118,0.25,30,20
83.95252466066935,11.96116989730624,83.15676968042266,89.66363628915754,97.27524827569862,83.15676968042266,45.10959384933109,47.39968156814575,0.004025520234523425,0.45,50,30
83.28730347568529,10.287063915680827,82.03599487379506,89.15053417768344,97.61626638410009,82.03599487379506,45.10677135800471,47.79695749282837,0.004059259749654971,0.3,30,20
82.9151357534552,9.486427151938905,81.43543869069026,88.86315560230538,97.78182446306405,81.43543869069026,45.066692353638594,47.935983657836914,0.00407106684670404,0.35,40,20
83.26585019846401,10.465503428327663,82.04511262961142,89.13919596358288,97.57618329293037,82.04511262961142,45.04086620643579,47.84760141372681,0.004063560793914923,0.45,40,25
82.93955687535137,9.76371070949215,81.51861288541514,88.88739146020102,97.72074236179085,81.51861288541514,45.00568344745222,47.41778755187988,0.004027057924260495,0.35,30,20
82.66380170727385,9.299143698432022,81.0986895758724,88.6762637823994,97.81582818907413,81.0986895758724,44.93955626615063,47.859215259552,0.004064547124831572,0.4,30,20
84.51471923765398,14.02596997221962,84.23053739039698,90.10448811768039,96.85911266233917,84.23053739039698,44.92793444535033,47.918416023254395,0.004069574877430302,0.6,50,40
82.58273714986852,9.180010612729033,80.97863912429021,88.61439675753398,97.84007814202165,80.97863912429021,44.91517922948251,47.77324819564819,0.004057246186432865,0.4,40,20
82.61216120993092,9.331398070980429,81.04327388218846,88.6394812597092,97.8069526582003,81.04327388218846,44.8934051009209,48.20795679092407,0.00409416475188543,0.25,30,15
82.9151357534552,10.18613894351323,81.57169848594599,88.87969017251457,97.62598179838548,81.57169848594599,44.868563514162304,47.56888937950134,0.004039890573013402,0.5,40,25
82.25915728474435,8.650414624756792,80.48891432855326,88.36513260153029,97.95000012328602,80.48891432855326,44.833182747229245,47.673540353775024,0.0040487782828157485,0.3,30,15
83.44035946534703,11.700533757842495,82.49411144936859,89.29256199615871,97.31219033005169,82.49411144936859,44.816253366484155,48.053677797317505,0.004081062275455662,0.5,50,30
82.85611804220613,10.424405114919209,81.5475870872316,88.84263109476638,97.57109852093743,81.5475870872316,44.75879020637127,47.57587814331055,0.004040484108860005,0.45,50,25
82.23592330071814,8.901166359729896,80.50998647532887,88.35436381293648,97.89236916921652,80.50998647532887,44.74552534130537,47.87921500205994,0.004066245646118793,0.45,40,20
81.89343402523686,8.137466054874052,79.95208112776508,88.08363310456595,98.05650088154496,79.95208112776508,44.716262254709434,47.6486713886261,0.004046666232289106,0.35,30,15
84.0579255444087,13.707067869442625,83.62268700263908,89.7759481417835,96.90669484312173,83.62268700263908,44.690785053806394,47.88844680786133,0.004067029677146538,0.65,50,40
82.87714734161673,10.817700367283662,81.64930071878308,88.867130106675,97.48482597956799,81.64930071878308,44.66250028435638,47.6725378036499,0.004048693139083105,0.2,30,15
