accuracy,GFAR,SDR,ODR,F1,precision,recall,score,elapsed,RTF,threshold,min_speech_ms,min_silence_ms,speech_pad_ms
83.3770318535406,92.68845507055642,92.27731073265882,97.51119490926231,90.85872809517525,89.48310095183315,92.27731073265882,57.37771124265717,31.743152856826782,0.00811811810249443,0.01,20,50,80
78.12121041922497,75.62330920523507,84.40975509598823,93.32076361065283,87.35434081703423,90.51179260428039,84.40975509598823,55.967545641609405,31.710302114486694,0.00810971672512419,0.02,20,50,80
70.64378515135347,62.57707586946455,74.53089531978966,73.87933066226726,81.96832366316451,91.05465592686531,74.53089531978966,46.84867521892986,31.72135305404663,0.008112542935642588,0.02,20,30,50
75.09209877993051,88.63785917964466,82.54902072615693,77.18831015790714,85.57833587086665,88.83845544773233,82.54902072615693,46.16736051769669,31.76194953918457,0.008122925239580147,0.01,20,30,50
56.996316048802775,31.356779020740415,55.633533712799576,69.94579307094038,69.84639014147288,93.8130845615638,55.633533712799576,43.960374909347905,31.758017778396606,0.008121919715693739,0.5,100,150,200
61.23707234381502,45.750773805171704,62.05470701632313,70.6622672637285,74.13592801926936,92.05848259990354,62.05470701632313,43.93663495098631,31.72337532043457,0.00811306011796049,0.05,50,80,120
53.2352648334563,30.476956447564035,51.329462625617396,63.12986094744285,66.27624183265246,93.50392984971506,51.329462625617396,39.68833813971129,31.680878162384033,0.008102191728496131,0.3,80,100,150
53.977671630512205,34.66159732884892,52.64837396055528,61.557860004713646,67.19465124447008,92.84762350195884,52.64837396055528,38.75017412033779,31.645148277282715,0.008093054027891868,0.1,50,80,120
56.424193066614926,42.86027637639833,56.34047018832627,59.99057270798963,69.83397605607416,91.82631975236343,56.34047018832627,37.9603618832467,31.77593469619751,0.008126501858349714,0.05,20,50,100
51.39048095604023,32.100119421900516,49.458747305143326,56.82771623851048,64.56135126331952,92.94185105596253,49.458747305143326,36.09456153308143,31.654541969299316,0.008095456407439772,0.15,50,80,120
49.77342295997692,28.595452219053886,47.24240592241094,55.55031817110535,62.74379101057636,93.38602118412375,47.24240592241094,35.397999193595744,31.764845848083496,0.008123665952949383,0.4,80,100,150
51.036127230347795,34.00843264848529,49.28621944403253,53.1746405844921,64.3148331109883,92.52937869743288,49.28621944403253,34.1826574817128,31.68789792060852,0.008103986988928339,0.08,20,50,100
52.14999272400491,37.469230581755255,50.93535766023704,51.78411501296253,65.58782056931348,92.07476751139245,50.93535766023704,33.59394295292878,31.73412013053894,0.008115808037734231,0.05,20,30,80
49.48161726223452,31.446954741536885,47.25010551290679,51.54371906669809,62.612090042360876,92.77523321052219,47.25010551290679,33.22813888353458,31.664434671401978,0.008097986405779396,0.1,30,50,100
48.388941508658434,30.169871560527405,45.880148744681584,52.253122790478436,61.41498738390714,92.85549386492445,45.880148744681584,33.219334301958526,31.67404580116272,0.008100444393706684,0.2,50,80,120
47.066752787216714,28.88547683458848,44.25296861989118,49.835022389818526,59.95004838700331,92.90439613729023,44.25296861989118,31.858101036966186,31.689085721969604,0.008104290761895538,0.25,50,80,120
47.02335211476159,29.38997343472009,44.26351991057068,48.86165448974782,59.936093600671896,92.79099936034243,44.26351991057068,31.372075073183385,31.77422070503235,0.008126063515543371,0.15,30,50,100
45.97714061051981,28.35904559966854,42.97426625754275,47.57482913033231,58.75115253186641,92.83201813556086,42.97426625754275,30.54782903521632,31.77772545814514,0.00812695983481632,0.3,50,80,120
46.82268782917495,30.61100143793717,44.182246455336674,47.11053499882159,59.801104289979364,92.50117915375567,44.182246455336674,30.39491229407588,31.695741653442383,0.008105992975850839,0.08,20,30,80
45.4172719358487,28.166508249859863,42.32635997581758,46.21965590384162,58.13179281308137,92.77606230700954,42.32635997581758,29.785104701891708,31.647379636764526,0.008093624684495647,0.1,20,30,80
44.26434583698197,27.54502693085716,40.96581381819841,46.01461230261607,56.82246095913169,92.70631663181807,40.96581381819841,29.28316506215436,31.72286629676819,0.00811292993825656,0.2,30,50,100
43.317445283240446,25.953547317881604,39.721902198090504,44.869196323356114,55.649019494256,92.89787316344429,39.721902198090504,28.645729945002326,31.683177709579468,0.008102779823692566,0.15,20,30,80
43.19005154468099,26.177768029051208,39.60583800061597,44.09144473250059,55.52135344417482,92.82143477737826,39.60583800061597,28.243359487436383,31.729641437530518,0.008114662639261963,0.25,30,50,100
