accuracy,GFAR,SDR,ODR,F1,precision,recall,score,elapsed,RTF,threshold,min_speech_ms,min_silence_ms
40.54337641913817,17.43316029343667,35.6262903943331,43.532877680886166,51.75753131531576,94.58446582830493,35.6262903943331,28.17703517140037,31.305725574493408,0.008006248737934074,0.1,30,50
40.54337641913817,17.43316029343667,35.6262903943331,43.532877680886166,51.75753131531576,94.58446582830493,35.6262903943331,28.17703517140037,32.16649007797241,0.008226384019681133,0.1,50,100
39.25131287034177,16.126830932709417,34.03019380154448,42.12349752533584,50.07490275230898,94.74632790789997,34.03019380154448,27.236110344210246,30.096582889556885,0.007697017857077484,0.15,30,50
39.25131287034177,16.126830932709417,34.03019380154448,42.12349752533584,50.07490275230898,94.74632790789997,34.03019380154448,27.236110344210246,30.192749977111816,0.0077216120042898,0.15,50,100
37.745820132295464,14.46711023372572,32.154345420739844,40.37944850341739,48.04637814551335,94.9987783403965,32.154345420739844,26.12009552291775,30.582319974899292,0.00782124215966509,0.2,30,50
37.745820132295464,14.46711023372572,32.154345420739844,40.37944850341739,48.04637814551335,94.9987783403965,32.154345420739844,26.12009552291775,33.55692768096924,0.008581979972174867,0.2,50,100
37.745820132295464,14.46711023372572,32.154345420739844,40.37944850341739,48.04637814551335,94.9987783403965,32.154345420739844,26.12009552291775,43.179922580718994,0.011043002336532388,0.2,80,150
36.78028281920556,13.921181545660598,31.01195432716986,38.39264671223191,46.760791092363625,95.00965394326451,31.01195432716986,24.97760410662859,44.21111798286438,0.01130672428309275,0.25,50,100
36.70905465676451,13.921181545660598,30.93239189204604,38.17817581899599,46.66881789824675,94.99746019512708,30.93239189204604,24.859990775284693,37.49574422836304,0.009589308326104442,0.25,30,50
35.77696139127238,13.26801686529697,29.814810590073805,36.64388404430827,45.3915335071408,95.05068412200555,29.814810590073805,23.92987448069344,44.383033990859985,0.011350690755576202,0.3,50,100
35.58880671127575,13.26801686529697,29.604640286538835,36.34692434598162,45.14378400003479,95.01729850445734,29.604640286538835,23.72702247994879,47.39198660850525,0.012120212070142177,0.3,80,150
33.03097531522929,12.45887255977188,26.652845426443246,32.64671223191139,41.609106875343635,94.81410093837181,26.652845426443246,21.22804855138748,45.4574990272522,0.011625478647685573,0.4,80,150
31.29826729197675,11.520557627159953,24.607606054729832,30.412444025453688,39.07345942592702,94.8065217868993,24.607606054729832,19.70390850664142,43.69154238700867,0.011173845987437772,0.5,100,200
31.2660997347453,11.520557627159953,24.571674632415846,30.287532406316288,39.02753872633391,94.79932227258725,24.571674632415846,19.639571290060864,46.53615927696228,0.011901339440062072,0.5,150,200
